Name,id,area,rt,mass,compound,similarity_score,n_matching_signals,explained_intensity_percent,Adduct_pos,mol_formula,smiles,inchi,feature_group,1,3,4,7,8,9,10,13,14,15,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,Blank01,Blank02,QC01,QC02,QC03,QC04,QC05,QC06,QC07,QC08,QC09,QC10
"(Z,E)-Tetradeca-9,12-dienol_[M+H]+_211.20551_6.0462_ID",18197,29570,6.0462,211.20551,"(Z,E)-Tetradeca-9,12-dienol",0.581,19,0.9904,[M+H]+,C14H26O,,,,9144,13120,15390,13750,21270,19720,14550,16910,16280,10910,11590,14880,15910,10240,8789,12600,13920,17040,16070,9060,16480,23050,8945,11450,10990,14190,13110,9182,24300,8806,13450,9574,14560,14340,23420,29570,24580,25820,24850,16430,18680,13680,9536,11690,9346,11640
.alpha.-Ionone_[M+H]+_193.15857_5.1995_ID,14726,38270,5.1995,193.15857,.alpha.-Ionone,0.724,33,0.9152,[M+H]+,C13H20O,,,,2435,18040,16280,28180,36010,12950,20230,11960,19700,19200,18230,18920,24090,19130,16070,7623,29710,26820,19110,7043,11080,22050,8981,8898,20320,12520,9519,7010,10890,31700,16680,11990,9751,23850,16280,28550,19790,38270,11310,12480,11880,8133,9820,19610,16600,27860
.alpha.-Ionone_[M+H]+_193.15858_5.6189_ID,15971,46880,5.6189,193.15858,.alpha.-Ionone,0.847,33,0.9301,[M+H]+,C13H20O,,,,19930,18270,31990,25420,38130,22960,5193,27350,30400,14380,14290,30220,32590,7413,16160,20790,23040,34400,33270,22360,27930,10060,18390,14000,21990,23400,28050,12980,34000,24720,30400,29500,22850,30850,6990,44060,46880,41090,27880,38780,18160,32560,27150,12800,19950,24830
.beta.-Damascone_[M+H-C4H8]+_137.09611_4.6066_ID,13342,126200,4.6066,137.09611,.beta.-Damascone,0.74,20,0.9645,[M+H-C4H8]+,C13H20O,,,,97390,60400,58360,54160,114300,118200,51390,73080,55320,114400,109500,108800,107500,101700,50320,58850,108000,57920,64840,105300,116100,111700,102400,55360,50590,104600,117600,72560,114800,57500,110300,48180,114600,60750,126200,82890,58150,68110,62010,115600,116400,88860,112100,109300,59700,114100
.beta.-Nicotinamide adenine dinucleotide_[M+2H]2+_332.56155_1.1297_ID,3849,13530000,1.1297,332.56155,.beta.-Nicotinamide adenine dinucleotide,0.926,7,1,[M+2H]2+,C21H27N7O14P2,,,32,7298000,10070000,10870000,9112000,11680000,10380000,11320000,10840000,10060000,9877000,8467000,8900000,10320000,8267000,7334000,9717000,10370000,11560000,10260000,11020000,12200000,12300000,9561000,9366000,9807000,11720000,11010000,9434000,11270000,10030000,9326000,7759000,8211000,9301000,,,12620000,12380000,11620000,11670000,10590000,10280000,10040000,8957000,8682000,8143000
.beta.-Nicotinamide adenine dinucleotide_[M+H]+_664.11729_1.1265_ID,3816,6784000,1.1265,664.11729,.beta.-Nicotinamide adenine dinucleotide,0.953,13,0.9799,[M+H]+,C21H27N7O14P2,,,,2236000,3046000,3264000,2588000,2948000,3190000,3104000,2747000,3021000,2775000,2252000,2435000,3067000,2501000,2220000,2799000,2615000,3047000,2760000,3563000,3219000,3400000,2612000,2745000,2826000,3057000,2899000,2635000,2922000,2856000,2202000,2545000,2489000,2808000,,,3542000,3404000,3049000,3093000,3123000,2876000,2840000,2585000,2563000,2578000
".beta.-Nicotinamide adenine dinucleotide, reduced_[M+2H]2+_333.56947_1.5642_ID",5444,469100,1.5642,333.56947,".beta.-Nicotinamide adenine dinucleotide, reduced",0.741,23,0.8843,[M+2H]2+,C21H29N7O14P2,,,,198000,272900,419300,224700,270100,142200,211300,151900,179600,229700,207100,138700,289900,185500,170700,69360,221700,206200,263200,207600,349700,443400,298800,111400,295800,325800,322300,204800,438000,469100,267200,181200,292800,262200,,,301300,297400,285300,266000,266700,271700,233400,233600,217400,223300
".beta.-Nicotinamide adenine dinucleotide, reduced_[M+H]+_666.13277_1.5701_ID",5456,68060,1.5701,666.13277,".beta.-Nicotinamide adenine dinucleotide, reduced",0.906,53,0.9415,[M+H]+,C21H29N7O14P2,,,,23730,34140,56380,23910,30620,20460,31020,18390,22370,25990,27530,15650,34870,21660,21320,2373,27360,24710,31870,26120,43200,57840,36020,13090,32450,38260,40720,22170,52210,59350,27600,23030,39250,35700,,,39830,39280,35580,35500,36480,33100,27260,26830,26900,27310
.delta.-Octalactone_[M+H-2H2O]+_107.0854_5.2589_ID,14863,38940,5.2589,107.0854,.delta.-Octalactone,0.902,7,0.9717,[M+H-2H2O]+,C8H14O2,,,,19310,22030,23300,23240,25970,23330,23240,26760,22870,21490,22010,15230,24280,20210,18190,22500,26010,25180,16440,14570,28980,20710,19480,21750,21580,23960,29430,14170,28230,22210,18500,24110,24260,24360,33050,36300,34250,33170,32760,35920,30570,21010,24910,23720,21420,21020
.delta.-Octalactone_[M+H-2H2O]+_107.08541_4.8584_ID,13873,203900,4.8584,107.08541,.delta.-Octalactone,0.935,8,0.9859,[M+H-2H2O]+,C8H14O2,,,,128700,135300,141700,114300,172700,167400,158400,175200,135500,151400,125300,100100,142200,119300,118500,131300,152300,167800,155100,132200,177200,168200,134000,122800,142300,143400,153500,128300,182900,134900,156300,142700,143100,136600,177200,157400,197800,203900,192600,181100,176000,158500,139300,129100,133600,144300
.epsilon.-Caprolactam_[M+H]+_114.09122_3.4723_ID,8356,10440000,3.4723,114.09122,.epsilon.-Caprolactam,0.776,13,0.9895,[M+H]+,C6H11NO,,,108,7619000,6550000,10440000,9726000,9033000,5600000,4649000,3910000,4081000,5636000,267500,199700,290900,230000,144200,215900,190600,141400,235900,142800,270200,333700,1598000,2553000,4520000,3094000,185300,198400,263300,146700,279500,234100,224400,231400,243900,252500,2941000,2971000,2972000,2885000,2781000,2673000,2582000,2333000,2365000,2212000
[5-acetyloxy-3-(hydroxymethyl)-2-oxo-6-propan-2-ylcyclohex-3-en-1-yl] 3-methylpentanoate_[M+H]+_341.19587_5.5759_ID,15836,15220,5.5759,341.19587,[5-acetyloxy-3-(hydroxymethyl)-2-oxo-6-propan-2-ylcyclohex-3-en-1-yl] 3-methylpentanoate,0.373,50,0.604,[M+H]+,C18H28O6,O=C(OC1C=C(C(=O)C(OC(=O)CC(C)CC)C1C(C)C)CO)C,"InChI=1S/C18H28O6/c1-6-11(4)7-15(21)24-18-16(10(2)3)14(23-12(5)20)8-13(9-19)17(18)22/h8,10-11,14,16,18-19H,6-7,9H2,1-5H3",,8172,6799,8844,10440,12990,12940,9692,12630,8739,10340,7928,8102,10940,8362,6019,7343,8461,10410,10560,6974,8621,14700,9755,9367,10230,9715,10510,9366,15220,9293,9772,7792,11190,14300,864.5,1641,13310,14080,12680,13310,10220,8916,8806,7885,7727,7559
"1-(1',3'-Benzodioxol-5'-yl)-2-butanamine_[M+H]+_194.11728_3.0958_ID",7413,99140,3.0958,194.11728,"1-(1',3'-Benzodioxol-5'-yl)-2-butanamine",0.544,7,0.9106,[M+H]+,C11H15NO2,,,,65980,83070,89960,69010,78110,87210,70480,64210,61810,66430,61640,67800,65600,59670,69030,74880,68610,65360,79650,63270,71450,64180,62820,63670,64250,62540,99140,91390,79150,83340,66830,69750,67550,60690,11040,12940,92040,86860,76410,70950,80820,80720,63570,65780,66790,72100
"1-(1',3'-Benzodioxol-5'-yl)-2-butanamine_[M+H]+_194.11727_2.9896_ID",7123,48140,2.9896,194.11727,"1-(1',3'-Benzodioxol-5'-yl)-2-butanamine",0.622,7,0.9106,[M+H]+,C11H15NO2,,,,28470,32920,30390,24970,36040,29020,23520,32290,22870,27190,14040,28520,38980,23350,23320,23010,27570,37110,32120,29810,27870,34920,24950,23270,35890,41250,28690,30880,43380,36080,5661,23830,25580,29750,27710,32340,37590,48140,31800,39300,30230,45720,25140,27710,30760,23580
"1-(1',3'-Benzodioxol-5'-yl)-2-butanamine_[M+H]+_194.11736_2.7669_ID",6614,370400,2.7669,194.11736,"1-(1',3'-Benzodioxol-5'-yl)-2-butanamine",0.768,5,0.8477,[M+H]+,C11H15NO2,,,,246500,264900,282800,270400,317200,314500,308700,226300,264800,276000,257800,263700,300100,239800,181300,243000,300400,208400,278100,247500,230300,318100,249800,168500,248900,297200,308400,189900,316100,256300,306400,255200,281700,281700,370400,311200,259200,328800,331100,316800,297200,287800,200800,254800,245000,185700
1-(1Z-Hexadecenyl)-sn-glycero-3-phosphocholine_[M+H]+_480.34519_6.6208_ID,20943,167000,6.6208,480.34519,1-(1Z-Hexadecenyl)-sn-glycero-3-phosphocholine,0.796,25,0.9683,[M+H]+,C24H50NO6P,,,,13180,5684,2128,16970,46860,167000,4815,31890,9690,3440,395.4,14140,3714,430.3,2138,1351,12550,7873,5699,3083,3067,45390,4610,1085,1539,15630,13400,2010,3103,7651,2211,2756,4381,18650,,,1128,746.8,1380,2098,35770,3534,5426,6367,1189,960.7
